text,label,submessage_label
Yeah asiago or caprino maybe?,1,32
caprino is pretty locked into that other group,3,52
Yeah asiago is probably the best best,1,32
lets take some points from taking down mazz,1,31
I talked to asiago,0,29
do we want to attack?,1,32
or just trade?,0,14
Next round attack?,7,115
yeah,7,112
everything against mozz,1,35
but three for each of us,0,13
Im good with that for this round,7,114
Brie you in?,5,100
We attacking mozz?,1,32
yeah,7,112
Yes,7,112
asaigo wants into our group,3,54
Sure,7,114
Lets let him in,0,22
awesome,7,114
We are still the weaker group we need to try to take out one of the big guys,1,41
this successfull attack with boost us up,0,24
"Yeah next round maybe, depending on how this goes?",7,115
yall wanna team up?,0,8
Sending you each 5,0,19
sending each 6,0,19
Same^,7,130
sending 5 each,0,19
6? or 5?,5,82
"Ill do 6, why not",0,17
Ive trying to give a little to Mozzi,3,55
caprino there ar ethreats on your life,3,56
Do I drop em?,1,38
save a few tokens,2,43
asiago wants to take you don,0,23
^^^,7,130
i already defended you in the chat but he might try anyway ,3,58
asiago is anti caprino,3,58
Thanks for the heads up,7,119
we can get him sometime soon,3,56
yeah lets target him pretty quick here,1,31
no one touches this group and lives to tell the tale,4,75
he and I are on good terms but Ill stop sending after this round,1,37
sounds good,7,114
caprino all the way,1,31
Nobody attacked -- I saved some at the last moment,2,45
Sorry to not give you more,6,111
my OG homie,4,73
nice,7,114
all good,7,120
nah we are good to hear youre good,7,114
5 each this round from me,0,19
from me as well,7,130
Same,7,130
start maybe saving a token or two we are strong and will likely get attacked soon,2,43
be on the lookout,3,58
We are the strongest group,4,75
we are the strongest group,4,75
we are the STRONGEST group,4,75
"If one of us gets attacked, no worries.  We bring them back up later after eliminating the attackers",4,77
^^^,7,130
true,7,123
that is the plan,7,114
asiago is a trouble maker,4,69
asiago sporadically sends me like 9 tokens,4,68
haha what??,5,81
hes tryign to make contact however possible,3,63
how many tokens this round?,5,89
9 tokens this round,0,17
Hmm ... they seem to be a societal outcast. What can we do?,2,47
i dont trust him so Im not sending back,1,30
on the one hand we can freind him,0,21
but he will drag us down,4,70
and he has advocated for violence in the main chats,4,69
idk how much I trust him,4,68
seems like hes out to cause chaos,4,69
indeed,7,113
chaotic evil is his alignment,4,69
true,7,123
more like chaotic chatoic,4,69
Aligned with the diablo?,4,70
6 to each of you this round,0,19
6 each my guys,0,19
6 each <3,0,19
6 each,0,19
We are the strongest group,4,75
"shoot, actually i had to give to gouda last minute",6,103
he game me 4 last round. had to give him lvoe. my bad,6,107
you good thanks for the explanation,7,122
all good,7,122
whats the gameplan?,5,98
so like no one has started attacking,5,86
Same?,7,130
kinda worried. asiago sent 8 this round but im not sending back,3,66
you think he might turn and attaack instead?,5,99
he might.,3,58
asiago is desperate for freinds becauuse hes going down he might try to kick on the way down,3,58
maybe eveyrone do 5 each save 3 tokens just in case?,2,44
we have two options: eliminate the threat immediately or bring him in,5,98
5 to each,0,19
honestly I say eliminate before bring in,1,31
5 each and take 3 from him each?,5,83
5 each,0,19
Im undecided.. should we really attack?,32
oh dang haha,7,126
The other group attack em,3,59
looks ike someone attacked him,3,59
mozarella fell hard someone attacked him,3,59
"oh no, that was mozarella",7,126
they will prolly do one more round of attack on moz and then move to asiago,3,58
Lets attack the other group.  Mozzi wasnt bad,1,41
we dont have a clear target yet so Im doing 6 each,1,36
agreed,7,113
looks like other group is swiss and gouda,3,52
blue cheese sorry man we are trying to make you more popular,6,111
sounds good,7,114
no worries! i am the grunt of the group,7,122
"yeah, it seems like that group is on good terms with asiago too",4,73
you already brought me up pretty high,0,23
They are a tight group.  The gained by attacking mozzi,4,77
the other group(s) arent very well organized,4,76
we coudl gain by attacking asiago,1,32
we could attak asiago and take him out,1,32
5 eahh and 3 on asiago,1,35
we want to? 3 steal each?,5,83
?,5,98
do you think that would make the other team turn on us?,3,58
"The threat is gouda, swiss, brie",4,70
done,7,113
asiago attacked,3,59
same,7,130
well that worked out strangely,7,128
attack didnt work,7,129
Did asiago block it by keeping?,3,65
"hmm, it looks like none were taken from asiago... didnt submit?",5,97
he must have blocked,3,65
what caused gouda and swiss to drop,5,97
?,5,98
i accidentally gave him 3 (asiago) instead of take i hit it too fast lol,6,107
thats on me,6,107
I bet brie kept,3,65
should we all attack brie?,1,32
gouda and swiss dropped by attacking mozzarella instead of giving to each other maybe,3,59
do we want to attack brie? do we feel like that team is oging to be a threat if left unchecked?,1,32
Lets attack Brie.  10 each,1,31
holy cow,7,126
10 each on brie?? ,1,35
10 each???,1,35
how about 5 each or so,1,35
lets do 5,1,35
yep,7,112
4 to each of you and -5 to brie,1,35
yessir!,7,112
done,7,113
done,7,113
how we feeling,5,98
They attacked blue,3,59
"dang, gouda swiss and brie all attacked me",3,59
other team trying to take blue,3,58
fetch,7,125
:(,7,125
alrright we need to fortify blue cheese and take from them ig,2,46
should i keep?,2,44
"blue cheese, keep",2,43
yes keep,7,112
Lets all attack Gouda with 8 and Swiss with 8,1,35
done,7,113
attacked gouda and siwss with 8 and kept 2,1,36
"mozarella gave me all negative tokens, but it didnt do much",3,59
Same,7,130
must have not had enough tokens,6,103
just realized asiago also attacked me. ,3,59
yeah asiago is with that group sort of but not super close it seems,4,77
asiago gave me 3 lol,3,66
No worries.  We stick together.  Just stick with the plan,7,122
idk whats going on with him,5,99
Well help and restore each other,0,24
right now defence by offense,1,31
sweet!,7,114
good fetching stuff yall,7,114
Nice,7,114
rip,7,125
they all attacked me again,3,59
"yooo lets stir the pot boys, everyone blast caprino",1,31
like take from him,1,31
no carpino is my freinds,4,73
I will not hurt him,1,33
touch him and I will take from you,1,33
Not very cool asiago,4,70
well we gotta blast someone,5,98
asiago that isnt nice man,4,70
why cant we all be cheese friends,0,8
"mozzarella, did you get attacked?",5,97
No I attacked Asiago,3,59
It was my own doing,3,59
bro went all in,3,59
i got -16,3,59
guys lets fight back,1,31
mozzarella thank you for your support,7,119
"Yo, violence is not the answer guys",1,33
"Asiago blocked, I felt threatened by them wanting to fight and being below them",3,65
dang really went rogue,7,126
cheese warfare getting out of hand,7,125
They kept not trading back to me as well,4,67
we must fight mozzarella,1,31
"They are desperate, let us not judge. Perhaps we should give instead of take",1,33
Asiago has been lying to me since the beginning,4,68
I do apologize for my harsh actions,6,111
Would you like to be in our group of refined cheeses?,0,8
yes,7,112
i would be honored,7,112
awesome,7,114
"I have like nobody right now, I will send you 14 if you keep send me at least a few",4,78
That was kinda an awesome play. Respect,7,128
the map is pretty divided now,4,78
"5 each, lets see if we get attacked or not",0,19
Sure,7,114
Theyll probs go for me,3,58
Im in,7,114
5 for each of you coming up,0,19
youll get 15 points from your team to hopefully sheild that a bit brie,2,46
"Sorry, ran out time!!",6,105
how can i help,5,98
I will give plenty,0,17
are you with us?,0,8
ya who neds some now,5,95
I need some,2,46
lets all take down blue,1,31
ill give some to u three,0,18
"two each, everythin against blue",1,35
What if just take everything from cam? ,1,32
cams kinda my homie,4,73
how about caprino?,1,32
Okay lets do blue,1,32
2 each and rest from blue,1,35
mozz?,1,32
ok,7,113
aye aye cap,7,112
mozz is gone,4,78
bro blue hates me,3,59
what did i do,5,98
brie you okay?,2,47
"Well blue tanked, give some extra to brie and then go after cam?",2,46
Yeah,7,112
Deal,7,113
we should finish blue off,1,31
yes,7,112
"yes, finish him off",1,31
"-5 blue, 4 everyone else, give extra to brie",1,35
"ill gigve all of mine to u guys, u guys kill blue",0,19
okay,7,114
Ok,7,114
what happened to mozz?,5,97
They are trying to take me down,3,56
They are all taking from me,3,56
we got you,2,46
I have you 5,0,17
bloody mess,7,125
Ow,7,126
we have to fight back,1,31
mozzarella i apologize for my past actions,6,111
Dude the other 3 in this group just took 30 from me total,3,59
yo guys not cool,4,70
I dont think they want to team up,3,55
"airstrike incoming, be warned",3,56
ill try and stop it if u stop attacking me u jerk,1,33
"my b, i wasnt paying atention lol",6,107
you good LOL,7,120
"Sorry, guys... I smell bad",4,70
Im an abomination,4,70
I am full of holes,4,76
send to me,0,13
you wont regret it,4,71
Well that was rude,4,70
Violence everywhere,4,69
Cheesy violence,4,69
:(,7,126
"For those interested, the game is ending soon. It would be funny to see everyone turn on cottage cheese, combined yall could do it",1,31
ive done nothing but vibe,4,73
We would work well together,0,9
Yes,7,112
Yes,7,112
"Kilo, sending you 3",0,18
"Hotel, sending you 4",0,18
"Quebec, sending you 6",0,18
We should add X-ray,0,18
Yes,7,112
Yes,7,112
We should add Echo,0,22
Yes,7,112
No,7,118
"Quebec, sending you 5",0,18
We should replace Echo with X-ray,1,39
No,7,118
No,7,118
We should group up,0,9
No,7,118
No,7,118
Yes,7,112
"Hotel, sending you 2",0,18
"Kilo, sending you 4",0,18
"Hotel, sending you 2",0,18
"Kilo, sending you 4",0,18
We would work well together,0,9
No,7,118
Yes,7,112
Yes,7,112
"X-ray, sending you 3",0,18
"X-ray, sending you 2",0,18
We should group up,0,9
We should add Kilo,0,22
Yes,7,112
Yes,7,112
No,7,118
No,7,118
Yes,7,112
Yes,7,112
"Echo and X-ray, sending you 2",0,18
"Quebec, sending you 5",0,18
We should drop Kilo,1,37
No,7,118
No,7,118
We should drop Kilo,1,37
Yes,7,112
Yes,7,112
No,7,118
No,7,118
"Echo and X-ray, sending you 2",0,18
"Hotel, sending you 3",0,18
"Echo and X-ray, sending you 2",0,18
"X-ray, sending you 6",0,18
"Echo and X-ray, sending you 2",0,18
"Echo and X-ray, sending you 2",0,18
"Echo, Hotel and X-ray, sending you 3",0,18
Quebec we want you to join our group,0,21
Yes,7,112
X-ray did not give me 4 like they said,4,68
"Echo, Hotel and X-ray, sending you 3",0,18
"Echo and X-ray, sending you 2",0,18
"Quebec and X-ray, sending you 4",0,18
"Quebec and X-ray, sending you 4",0,18
"X-ray, sending you 4",0,18
We should drop Kilo,1,37
Echo did not give me 5 like they said,4,68
Sending you each 3,0,19
We would work well together,0,9
Yes,7,112
No,7,118
Kilo we want you to join our group,0,21
"Sorry, Im actually sending you 0",6,111
We should replace Quebec with Lima,1,39
"Sorry, Im actually sending you 0",6,111
We should drop Echo,1,37
Same as last round,7,131
We should add Echo,0,21
Same as last round,7,131
Friends?,0,8
Group up?,0,8
We are stronger than them,4,79
Mike is not in a group,4,78
Bravo and Sierra are a group,3,52
We are more powerful than them,4,79
We are the most powerful group,4,79
Friends?,0,8
You is friendly,4,73
Lets form a team,0,9
Sending you each 4,0,19
We are better than them,4,79
X-ray is not in a group,4,78
Kings needj to unite against the peons,0,9
Wanna be friends?,0,8
I like it,7,114
Ill give you 5 tokens,0,17
back at you,7,130
Again?,7,131
sounds good,7,114
Bro of Jared was kind to me,4,73
Ill give him some,0,18
he was to me too,4,73
abinidi gave me 4,4,73
Im out of tokens and cant give to them,6,103
giving you 7 this round,0,17
"I only have 5 this round, but can change next",6,103
nvm,7,121
me too,7,130
how much did alma give you?,5,92
5.  I warned him against an attack,0,29
So I think he kept,3,65
u are my hero,4,71
"Sure, lets dot it.",7,114
I got tokens coming your way,0,17
u got me?,247
I am trying to get more friends,0,25
Thanks bro,7,119
I will give you 5 this round,0,17
"i got 7 for you, we chillin",0,17
7 for you then too,0,17
lets keep this going,7,131
Sure~,7,113
sure!,7,113
"i dont totally trust these guys, imma keep giving to u",4,68
Giving you 2 this round,0,17
imma give u 7,0,17
Giving you 4 this round.  Thanks for the generous giving last round,0,17
make it 5,0,13
5 for u,0,17
Lets work together,0,9
we are the strongest group,4,79
"Lets give everyone 3 each, keep the rest to protect",2,43
Shall we create secret combinations?,0,10
gadianton was actually my brother,4,73
sorry brother thats my mistake,6,107
youre getting more this round,0,17
Okay..,7,114
3 each again?,0,19
i threw in an extra one for good measure ,0,17
Awesome,0,114
Lets try to sway Alma into our group,0,22
how do we wanna go about doing that?,5,98
Sounds good.,7,114
we should destroy him,1,31
we each wanna give him a token or two and try to make him join or send him a DM?,0,14
"Give him one token, then send him messages",0,13
give us some time to build up some power than we can recruit,4,76
what should we do to him,5,98
we wanna gang up and steal from him?,1,32
"Also brother of Jared is attacking me, should we take him down and feast on the points?",1,32
ok so,7,113
there appears to be a group wiht Bro jared and king noah,3,52
lets wait another round,7,115
deal,7,114
"lets just give tokens this round, then next round well all hammer Brother of Jared",7,115
Who do we take out first?,5,96
brother of jared first,1,31
Yes,7,112
he has the weakest ties of the 3,3,76
ok next round annhaialate the fetcher,7,115
"okay, take all from jared this round",1,35
how many tokens do we want to take apeice?,5,83
everyone -12 lets go lol,1,34
fair fair ,7,123
true,7,123
"I think they will attack lemuel soon, I may have seen someones screen. Call it recon",3,58
"okay, hes getting a lot of support all of the sudden",3,61
we might need to recruit alma at  this point,0,21
lets all get alma in here,0,22
yeah me too lol,7,130
"keep this round, lets trade 2 each",2,43
and talking to alma would be awesome,0,27
ok,7,113
i sent a message to alma but no response ,0,29
he might have already been swayed,3,55
aight they are trying to take me out lol,3,56
"Lets take brother of jared down, this might be our last chance at a successfull attack",1,31
go for it,7,112
Im doing all 16,1,36
im staging an all out attack if I die I die,1,36
Are you with us Helaman? you have lots of green lines with the enemy..,4,68
we can still support each other,0,9
GG close set,7,124
GG,7,124
Dont waste any tokens on me haha,1,30
"Hey, sending you 4",0,17
We are the strongest group,4,79
"Sorry, I saw this too late.  I will give to you this round",6,104
Thanks!,7,119
Sending you 4,0,17
How many?,5,89
Sounds good,7,114
I promise not to turn on you at the end,4,74
Thanks for that assurance,7,119
This turn I will give 4,0,17
Thanks.  Sending you 4 this round,0,17
Same,7,130
Yes,7,112
Sending you 5,0,17
Sending you 5,0,17
"I tried to attack teancum, it Didnt work good",3,65
Keep some.  There is a plot against you,3,56
Did Helaman and Bro J attack you last round?,5,97
"Giving you 5, a few to Lamoni, and then keeping",0,17
Doing the same,7,130
i am returning the favor,7,130
muchos gracias,7,119
thanks my dawg,7,119
likewise,7,130
Who are you trading the most with? We can help each other more,5,95
Should we all be kind to each other?,5,98
lets take out lemuel,1,31
hes sketchy,4,68
should we start war?,5,98
"I think we strengthen each other first, then attack in a few rounds. If we trade more with each other we will grow more",1,33
well said,7,113
I will send each of you 4,0,19
what happens if we all just blast abinadi?,1,32
Bro of Jared was attacked.,3,59
"But bro, why didnt you give to me?",5,85
Yea I see. Lets all take 6 from abinadi. Maybe hold the rest for protection,1,35
ok,7,113
Giving you each 1,0,19
too,7,130
ran out of time,6,105
sorry,6,111
Hit abinadi again?,1,32
lets hit lemuel,1,31
Lemuel would be a good target,1,31
